,,,,STAT OVERVIEW,,,,,,,,,,,,,,,,,,SHOOTING,,,,,,,,,PASSING,,,,,PUCK CONTROL,,,,,DEFENSE,,,FACEOFFS,,,,,,,,,,,
Gamertag,Platform,Primary position,Record,Wins,Losses,Overtime losses,Games played,Goals,Assists,Points,Points per game,Shots,Passes,Hits,Giveaways,Takeaways,Interceptions,Blocks,Penalty minutes,plus minus,Goals per game,Scoring percentage,Shot Attempts,Missed Shots,Shots on net percentage,Powerplay goals,Shorthanded goals,Deflections,Assists per game,Pass attempts,Pass attempts per game,Passes per game,Passing percentage,Saucer passes,Saucer passes per game,Giveaways per game,Puck Possession per game,Penalties drawn,Hits per game,Interceptions per game,Takeaways per game,Blocks per game,Penalty Clears,Faceoffs won,Faceoffs lost,Faceoff percentage,Time on ice,Powerplay time on ice,Shorthanded time on ice,,,,,,
Username,Plat,Pos,Rec,WIN,LOSS,OTL,GP,G,A,PTS,PTS/GP,S,P,Hit,GA,TA,Int,Blk,PIM,+/-,G/GP,S%,SA,MS,SoN%,PPG,SHG,Defl,A/GP,PA,PA/GP,P/GP,P%,SP,SP/GP,GA/GP,PossMPG,PenDr,Hit/GP,Int/GP,TA/GP,Blk/GP,PKClr,FOW,FOL,FO%,TOI,PP TOI,SH TOI,EV TOI,SkEV TOI,EV S%,EVO,GAR,WAR
SadAttorney3657,xbsx,C,1-17-2003,1,17,2003,21,28,31,59,2.8,85,235,82,217,71,91,7,20,-101,1.3,23.50%,119,34,71.1,0,0,1,1.5,340,16.19,11.19,69.12%,0,0,10.33,5.12,6,3.9,4.33,3.38,0.33,0,43,42,50.59%,1136,12,6,1242,59.14285714,23.19%,1.31,-0.33,58.11%
ShadyReaper242,xbsx,D,6-13-2000,6,13,2000,19,14,42,56,2.9,73,236,22,155,62,92,13,14,-51,0.7,14.40%,97,24,73.58,0,0,1,2.2,294,15.47,12.42,80.27%,0,0,8.16,4.62,5,1.16,4.84,3.26,0.68,0,7,10,41.18%,1026,10,5,1125,59.21052632,14.24%,0.73,-1.31,57.04%
x53CT10N8x,xbsx,C,8-1-2000,8,1,2000,9,23,33,56,6.2,55,135,148,64,46,61,5,10,26,2.6,31.10%,74,19,74.59,0,0,5,3.7,185,20.56,15,76.76%,7,0.78,7.11,5.28,2,16.44,6.78,5.11,0.56,0,108,158,40.60%,542,4,2,534,59.33333333,30.74%,2.53,0.4,77.84%
LDG Ninja Fish,xbsx,C,4-12-2000,4,12,2000,17,18,37,55,3.2,83,156,19,122,50,75,14,6,-39,1.1,15.50%,116,33,67.58,0,0,0,2.2,237,13.94,9.18,65.82%,0,0,7.18,3.3,5,1.12,4.41,2.94,0.82,0,176,235,42.82%,932,10,5,1005,59.11764706,15.29%,1.04,-0.64,66.39%
Ogrewhelmedd,xbsx,C,5-6-2000,5,6,2000,11,19,35,54,4.9,52,180,29,98,39,72,4,8,2,1.7,30.60%,62,10,85.74,0,0,1,3.2,232,21.09,16.36,79.31%,4,0.36,8.91,4.93,2,2.64,6.55,3.55,0.36,0,85,136,38.46%,638,4,2,654,59.45454545,30.37%,1.71,-0.11,70.00%
Fat Man Cryin 2,xbsx,C,3-15-2000,3,15,2000,18,16,34,50,2.8,61,321,15,147,52,73,20,18,-77,0.9,20.00%,80,19,64.16,0,0,2,1.9,426,23.67,17.83,75.35%,0,0,8.17,4.94,8,0.83,4.06,2.89,1.11,0,33,71,31.73%,1007,16,8,1056,58.66666667,19.56%,0.87,-0.93,57.98%
tmazur1478,xbsx,LW,5-11-2001,5,11,2001,17,26,23,49,2.9,128,300,209,152,61,89,13,6,-30,1.5,16.50%,158,30,76.54,0,0,3,1.4,379,22.29,17.65,79.16%,0,0,8.94,7.17,5,12.29,5.24,3.59,0.76,0,0,0,0,995,10,5,1005,59.11764706,16.21%,1.51,-0.34,80.31%
nmanning709,ps5,D,8-3-2000,8,3,2000,11,22,27,49,4.5,50,140,12,70,29,51,7,8,43,2,42.30%,52,2,76.23,0,0,1,2.5,195,17.73,12.73,71.79%,0,0,6.36,3.72,0,1.09,4.64,2.64,0.64,0,0,0,0,562,0,0,660,60,42.31%,2,0.17,63.24%
Jmen Fish7822,xbsx,LW,4-4-2000,4,4,2000,8,22,22,44,5.5,73,103,49,89,23,43,5,6,16,2.8,25.00%,88,15,81.34,0,0,1,2.8,133,16.63,12.88,78.20%,1,0.13,11.13,7.57,3,6.13,5.38,2.88,0.63,0,0,0,0,441,6,3,471,58.875,24.53%,2.7,1.12,73.32%
WhistlinCloud,xbsx,LW,5-4-2000,5,4,2000,9,16,24,40,4.4,55,185,27,125,36,51,5,6,2,1.8,23.90%,67,12,84.88,0,0,2,2.7,239,26.56,20.56,77.41%,0,0,13.89,6.87,1,3,5.67,4,0.56,0,0,0,0,540,2,1,537,59.66666667,23.75%,1.77,0.07,71.65%
Phoenix1381,xbsx,D,1-13-2002,1,13,2002,16,9,30,39,2.4,59,279,45,162,54,141,28,14,-67,0.6,11.00%,82,23,68.67,0,0,0,1.9,356,22.25,17.44,78.65%,1,0.06,10.13,6.54,4,2.81,8.81,3.38,1.75,0,7,14,33.33%,875,8,4,948,59.25,10.84%,0.56,-1.47,55.05%
MineHeart--,ps5,D,4-4-2001,4,4,2001,9,4,35,39,4.3,33,217,34,93,45,81,14,6,-4,0.4,8.70%,46,13,58.84,0,0,0,3.9,262,29.11,24.11,82.82%,0,0,10.33,8.79,0,3.78,9,5,1.56,0,0,0,0,545,0,0,540,60,8.70%,0.44,-1.53,64.50%
G_spot1718,ps5,D,3-5-2002,3,5,2002,10,4,32,36,3.6,23,178,13,75,25,53,16,2,-12,0.4,9.80%,41,18,55.83,0,0,0,3.2,218,21.8,17.8,81.65%,0,0,7.5,5.23,4,1.3,5.3,2.5,1.6,0,0,0,0,605,8,4,588,58.8,9.56%,0.39,-1.21,64.95%
HardLukCHAMPION,xbsx,C,1-14-2000,1,14,2000,15,13,20,33,2.2,63,158,55,115,36,63,5,26,-69,0.9,16.70%,78,15,68.8,0,0,2,1.3,224,14.93,10.53,70.98%,1,0.07,7.67,3.17,4,3.67,4.2,2.4,0.33,0,30,62,32.61%,846,8,4,888,59.2,16.44%,0.86,-0.84,46.21%
